RP	categories	value	measureValue
1	1	1.7709342188863484	6.0
1	2	2.702233617036612	6.0
1	3	0.49029161323238185	6.0
1	4	0.0	1.0
1	5	2.214444960063491	6.0
1	6	1.8705134601704103	5.0
1	7	0.5502306033612965	6.0
1	8	1.5844533108489047	6.0
1	9	1.1185028466208846	3.0
1	10	2.491138907867328	6.0
1	11	0.8937567970315614	6.0
1	12	1.796707359446661	6.0
1	13	0.7605573497978315	5.0
1	14	3.206395997299403	6.0
1	15	1.1795917781251057	6.0
1	16	0.9481543953706534	5.0
1	17	2.1684740341138955	6.0
1	18	1.4804090305653697	5.0
1	19	0.20095891973166397	6.0
1	20	0.483604265560528	5.0
2	1	1.1755125846651784	4.0
2	2	2.145601293371486	5.0
2	3	0.2836566557855035	5.0
2	4	0.16204487083787025	6.0
2	5	1.9441236202511434	5.0
2	6	2.003701292988485	6.0
2	7	0.3788176312963183	5.0
2	8	0.7990915677269069	5.0
2	9	1.999431977344979	6.0
2	10	1.93138028136457	5.0
2	11	0.6251513762918856	5.0
2	12	1.0301134773908993	4.0
2	13	0.7047859775204874	4.0
2	14	2.915003614813439	5.0
2	15	0.7435146663300188	4.0
2	16	0.5366175899727449	4.0
2	17	1.6355557608889681	5.0
2	18	0.5098951918498289	3.0
2	19	0.07952535186678905	2.0
2	20	0.3748132584709963	2.0
3	1	0.8764147944208525	2.0
3	2	1.8529399337112353	4.0
3	3	0.10993675313346978	3.0
3	4	0.021329683253003898	2.0
3	5	1.459810383019898	2.0
3	6	1.1351458800982264	1.0
3	7	0.2212224451000742	4.0
3	8	0.78409436576349	4.0
3	9	0.9253085220619651	1.0
3	10	1.387802875263748	2.0
3	11	0.2922035989491683	2.0
3	12	0.8064429183067682	2.0
3	13	0.24394611697244215	2.0
3	14	2.419512271324546	2.0
3	15	0.39848099319873603	2.0
3	16	0.3715813056619579	2.0
3	17	1.220128286482043	2.0
3	18	0.18402547512695847	2.0
3	19	0.019770310730772695	1.0
3	20	0.2998230455879057	1.0
4	1	0.7541577043184204	1.0
4	2	1.6412899256948172	1.0
4	3	0.2998230455879057	1.0
4	4	0.025080270031708058	3.0
4	5	1.4432024120624323	1.0
4	6	1.2960779129822932	2.0
4	7	0.16602633350867346	2.0
4	8	0.3136015585569434	1.0
4	9	1.3491827784951784	5.0
4	10	0.9251139787485579	1.0
4	11	0.16500914781298534	1.0
4	12	0.5970052502550496	1.0
4	13	0.8402283089067412	6.0
4	14	2.2231662590061028	1.0
4	15	0.35098994145337764	1.0
4	16	0.21861117750132575	1.0
4	17	0.8413690347687147	1.0
4	18	0.11867811297593542	1.0
4	19	0.08279917548021755	3.0
4	20	0.590459742402401	6.0
5	1	0.9904599702046799	3.0
5	2	1.762642281852096	3.0
5	3	0.1735146230349554	4.0
5	4	0.08160701220340076	5.0
5	5	1.5011582401195218	3.0
5	6	1.3089624968687332	3.0
5	7	0.20486989300416078	3.0
5	8	0.7407194229787478	3.0
5	9	1.0514971843293548	2.0
5	10	1.6334450363243915	3.0
5	11	0.3032100189226074	3.0
5	12	0.9833159976218249	3.0
5	13	0.11728349622699215	1.0
5	14	2.467009797625449	3.0
5	15	0.6091438709543637	3.0
5	16	0.43786237469650674	3.0
5	17	1.2808635275368916	4.0
5	18	0.7101160427726488	4.0
5	19	0.11014248703646125	4.0
5	20	0.46694802415364833	4.0
6	1	1.4482423157689979	5.0
6	2	1.7525404887767024	2.0
6	3	0.10452250158494618	2.0
6	4	0.05504780195763759	4.0
6	5	1.6281950700766303	4.0
6	6	1.4498345922005964	4.0
6	7	0.14925115698523894	1.0
6	8	0.5169100323372081	2.0
6	9	1.2899204119955265	4.0
6	10	1.6561801106051113	4.0
6	11	0.4539814956307076	4.0
6	12	1.3426456417552537	5.0
6	13	0.43078843204489736	3.0
6	14	2.7612916263210545	4.0
6	15	0.8329792979779063	5.0
6	16	1.1286370775383614	6.0
6	17	1.2787088498924688	3.0
6	18	2.2289494463967765	6.0
6	19	0.1601516329663134	5.0
6	20	0.33760077067732724	3.0
