day,time,onVolume,offVolume
1,1,11092,9250
1,2,8521,8819
1,3,7451,7669
1,4,4047,4128
1,5,3181,3179
1,6,5457,5081
1,7,7687,6731
1,8,11542,10329
1,9,13866,13343
1,10,13539,13527
1,11,13978,14314
1,12,14250,14322
1,13,14587,14523
1,14,15112,14757
1,15,13711,14195
1,16,12719,13168
1,17,12090,11916
1,18,13461,12682
1,19,14634,14955
1,20,15754,16198
1,21,16194,15934
1,22,16195,16463
1,23,15423,16245
1,24,10915,13678
2,1,11033,9217
2,2,8385,8666
2,3,7548,7714
2,4,4151,4346
2,5,3284,3202
2,6,7696,7297
2,7,8017,7138
2,8,11133,9824
2,9,12893,12416
2,10,13012,12836
2,11,13313,13624
2,12,13868,14054
2,13,14270,14187
2,14,14303,14070
2,15,13390,13649
2,16,12226,12827
2,17,11947,11750
2,18,12695,11851
2,19,10438,10731
2,20,15345,15660
2,21,14654,14587
2,22,14579,15043
2,23,14223,15078
2,24,9522,12158
3,1,10106,8263
3,2,7606,7989
3,3,6489,6667
3,4,3594,3625
3,5,2963,2912
3,6,7684,7186
3,7,8036,7085
3,8,10818,9569
3,9,12094,11617
3,10,11589,11556
3,11,12074,12283
3,12,12991,13086
3,13,13007,12840
3,14,12309,12220
3,15,10903,11112
3,16,10350,10774
3,17,9983,9834
3,18,10682,10031
3,19,11488,11740
3,20,13387,13757
3,21,14605,14748
3,22,15138,15396
3,23,15188,15898
3,24,11181,14077
4,1,12174,10087
4,2,9962,10252
4,3,8714,9007
4,4,5075,5230
4,5,4149,4032
4,6,9052,8459
4,7,7892,7528
4,8,11855,11268
4,9,12453,11686
4,10,11741,11413
4,11,11756,11690
4,12,12262,12417
4,13,13423,13354
4,14,13135,13247
4,15,12338,12675
4,16,11752,12318
4,17,11988,11806
4,18,13982,13646
4,19,14889,14884
4,20,15302,15402
4,21,14657,14857
4,22,14782,15036
4,23,13724,14423
4,24,9741,12081
5,1,9745,8109
5,2,7465,7702
5,3,6956,6996
5,4,3455,3636
5,5,3000,2935
5,6,6744,6489
5,7,6150,5788
5,8,8455,8028
5,9,11381,10690
5,10,12012,11539
5,11,12176,12005
5,12,12406,12540
5,13,13027,12971
5,14,13226,13051
5,15,12139,12504
5,16,11756,12013
5,17,12083,11743
5,18,13224,13144
5,19,14018,14073
5,20,14565,14522
5,21,14125,14313
5,22,13931,14449
5,23,13276,13783
5,24,8477,10769
6,1,8841,7308
6,2,6644,6763
6,3,6348,6533
6,4,3391,3494
6,5,2716,2670
6,6,6531,6201
6,7,5836,5448
6,8,9743,9048
6,9,12012,11787
6,10,12460,12028
6,11,12987,12601
6,12,13433,13380
6,13,13644,13604
6,14,13503,13204
6,15,11990,12223
6,16,11254,11791
6,17,11450,11221
6,18,12537,12359
6,19,13186,13163
6,20,13321,13454
6,21,13321,13338
6,22,12843,13253
6,23,12111,12797
6,24,8599,11033
7,1,8569,7058
7,2,6257,6489
7,3,6110,6219
7,4,3265,3360
7,5,2895,2824
7,6,7173,6697
7,7,7942,6818
7,8,10587,9272
7,9,10965,10622
7,10,11401,11623
7,11,12273,12557
7,12,13214,13298
7,13,13931,13852
7,14,14031,13871
7,15,13129,13413
7,16,11675,12127
7,17,11288,11168
7,18,12051,11353
7,19,12561,12805
7,20,13879,14456
7,21,14466,14576
7,22,14729,15078
7,23,12951,13780
7,24,9104,11130
